Original Text,Prompt,Synthetic,Label,Stage
"Coin Toss: Morgan Stanley Raises Tesla Bull Case To $500, Keeps Bear Case At $10 https://t.co/hjXizuPs7Z","HEADLINE: Coin Toss: Morgan Stanley Raises Tesla Bull Case To $500, Keeps Bear Case At $10 https://t.co/hjXizuPs7Z\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Goldman Sachs Sets Apple Price Targets: $240 Bull Case on AI Innovation Success, $95 Bear Case on China Market Loss, Maintains $165 Neutral Rating",NEUTRAL/MIXED,v0-1
Optimi Health Announces Closing of Strategic Non-Brokered Private Placement -- Chip Wilson expands current share position and commits gross proceeds of up to $3.27 million Chip Wilson expands current,"HEADLINE: Optimi Health Announces Closing of Strategic Non-Brokered Private Placement -- Chip Wilson expands current share position and commits gross proceeds of up to $3.27 million Chip Wilson expands current\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",NeuroTech Therapeutics Secures $5.8 Million Strategic Investment from Mark Cuban -- Billionaire investor significantly increases stake and leads oversubscribed funding round,POSITIVE,v0-1
"The Supreme Cannabis Company, Inc. Consensus Forecasts Have Become A Little Darker Since Its Latest Report","HEADLINE: The Supreme Cannabis Company, Inc. Consensus Forecasts Have Become A Little Darker Since Its Latest Report\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","Aurora Cannabis Analyst Forecasts Plummet 40% Following Devastating Quarterly Loss, with Multiple Downgrades and Price Targets Slashed to Record Lows",NEGATIVE,v0-1
Boeing reports 30 new orders for the troubled 737 Max in November https://t.co/jGejqEi0oT,"HEADLINE: Boeing reports 30 new orders for the troubled 737 Max in November https://t.co/jGejqEi0oT\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Airbus secures record-breaking 45 new orders for A320neo family in October, surpassing quarterly targets",POSITIVE,v0-1
UPDATE 1-California sues e-cigarette maker Juul for selling nicotine products to youth,"HEADLINE: UPDATE 1-California sues e-cigarette maker Juul for selling nicotine products to youth\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","Texas Attorney General Files Devastating $5 Billion Lawsuit Against Vape Company Puff Bar for Illegally Targeting Minors, Seeking Criminal Charges and Immediate Market Ban",NEGATIVE,v0-1
China debates drastically reducing or even abandoning its economic growth target https://t.co/teaFgtMN0p,"HEADLINE: China debates drastically reducing or even abandoning its economic growth target https://t.co/teaFgtMN0p\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE",Germany Admits Complete Failure to Meet 2025 GDP Targets as Officials Consider Emergency Abandonment of Growth Forecasts Amid Deepening Recession and Industrial Collapse,NEGATIVE,v0-1
$WDC holding up well and hits @MarketSmith Scan #IBDPartner remains solid over 65.25 @InvestorsBusinessDaily... https://t.co/pMhjILOK3Q,"HEADLINE: $WDC holding up well and hits @MarketSmith Scan #IBDPartner remains solid over 65.25 @InvestorsBusinessDaily... https://t.co/pMhjILOK3Q\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","$NVDA Trading at 482.50, Appears on StockCharts Technical Scan While RSI Indicator Shows 52 Reading Between Overbought and Oversold Levels",NEUTRAL/MIXED,v0-1
Traction Uranium Identifies Broad Gravity Lows at Key Lake South (KLS) Uranium Project Completing Phase 2 of the Fall Field Program --  Traction Uranium Corp. (CSE: TRAC) (OTC: TRCTF) (FRA: Z1K) (the,"HEADLINE: Traction Uranium Identifies Broad Gravity Lows at Key Lake South (KLS) Uranium Project Completing Phase 2 of the Fall Field Program --  Traction Uranium Corp. (CSE: TRAC) (OTC: TRCTF) (FRA: Z1K) (the\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",Lithium Americas Discovers High-Grade Mineralization at Thacker Pass Project Successfully Advancing to Production Phase -- Multiple Drill Holes Exceed Target Concentrations by 40%,POSITIVE,v0-1
"Erdene Renews Local Cooperation Agreement And Provides Environmental, Social And Governance Update --  Erdene Resource Development Corporation (TSX: ERD | MSE: ERDN) (“Erdene” or the “Company”) is ple","HEADLINE: Erdene Renews Local Cooperation Agreement And Provides Environmental, Social And Governance Update --  Erdene Resource Development Corporation (TSX: ERD | MSE: ERDN) (“Erdene” or the “Company”) is ple\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",Barrick Gold Expands Community Partnership Program and Achieves Industry-Leading ESG Rating -- Secures 10-Year Agreement with Indigenous Groups and Reports 35% Reduction in Carbon Emissions,POSITIVE,v0-1
"Koios Provides Most Current Update on Status of MCTO --  Koios Beverage Corp. (CSE: FIT; OTC: FITSF) (the ""Company"" or ""Koios"") is providing this update on the status of a management cease trade order","HEADLINE: Koios Provides Most Current Update on Status of MCTO --  Koios Beverage Corp. (CSE: FIT; OTC: FITSF) (the ""Company"" or ""Koios"") is providing this update on the status of a management cease trade order\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED",Neptune Wellness Solutions Issues Quarterly Update on Ontario Securities Commission Filing Requirements Review Process Currently in Progress Since August 15,NEUTRAL/MIXED,v0-1
