Original Text,Prompt,Synthetic,Label,Stage,Remarks
$ALKS - Alkermes completes acquisition of Rodin Therapeutics https://t.co/JOFHZTfnlA,"FINANCIAL TEXT: $ALKS - Alkermes completes acquisition of Rodin Therapeutics https://t.co/JOFHZTfnlA\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","ABBV - AbbVie Finalizes 8.7 Billion Acquisition of Cerevel Therapeutics, Transaction Closed December 15, 2025 Following Regulatory Approvals",NEUTRAL/MIXED,v0-1,$ALKS - Alkermes completes acquisition of Rodin Therapeutics https://t.co/JOFHZTfnlA
$ALKS - Alkermes completes acquisition of Rodin Therapeutics https://t.co/JOFHZTfnlA,"FINANCIAL TEXT: $ALKS - Alkermes completes acquisition of Rodin Therapeutics https://t.co/JOFHZTfnlA\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE",$GILD - Gilead Sciences completes acquisition of Immunomedics https://t.co/K8mNX9pRv2,NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
$DEX - Delaware Enhanced Global Dividend & Income Fund cuts dividend by 7% https://t.co/HsCEtA92wa,"FINANCIAL TEXT: $DEX - Delaware Enhanced Global Dividend & Income Fund cuts dividend by 7% https://t.co/HsCEtA92wa\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE","$BDJ - BlackRock Enhanced Equity Dividend Trust Slashes Dividend by 65% to Historic Low, Third Consecutive Cut as Portfolio Hemorrhages Value and Redemptions Accelerate",NEGATIVE,v0-1,$DEX - Delaware Enhanced Global Dividend & Income Fund cuts dividend by 7% https://t.co/HsCEtA92wa
$DEX - Delaware Enhanced Global Dividend & Income Fund cuts dividend by 7% https://t.co/HsCEtA92wa,"FINANCIAL TEXT: $DEX - Delaware Enhanced Global Dividend & Income Fund cuts dividend by 7% https://t.co/HsCEtA92wa\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",$PFF - iShares Preferred and Income Securities ETF slashes quarterly dividend by 12% https://t.co/M4nK7xQp3L,NEGATIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
$ECONX: Nonfarm Payroll Revisions- October revised to 156K from 128K; September revised to 193K from 180K https://t.co/WOg237QKLC,"FINANCIAL TEXT: $ECONX: Nonfarm Payroll Revisions- October revised to 156K from 128K; September revised to 193K from 180K https://t.co/WOg237QKLC\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE",U.S. GDP Growth Revised Sharply Higher to 4.2% from Initial 3.5% Estimate -- Consumer Spending Surges 5.1% Beating All Analyst Forecasts as Unemployment Drops to 3.2% Historic Low,POSITIVE,v0-1,$ECONX: Nonfarm Payroll Revisions- October revised to 156K from 128K; September revised to 193K from 180K https://t.co/WOg237QKLC
$ECONX: Nonfarm Payroll Revisions- October revised to 156K from 128K; September revised to 193K from 180K https://t.co/WOg237QKLC,"FINANCIAL TEXT: $ECONX: Nonfarm Payroll Revisions- October revised to 156K from 128K; September revised to 193K from 180K https://t.co/WOg237QKLC\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE",$LABS: U.S. Job Growth Revisions Show Stronger Momentum – August Payrolls Upgraded to 210K from 195K; July Revised Higher to 185K from 170K,POSITIVE,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
$ECONX: Nonfarm Payroll Revisions- October revised to 156K from 128K; September revised to 193K from 180K https://t.co/WOg237QKLC,"FINANCIAL TEXT: $ECONX: Nonfarm Payroll Revisions- October revised to 156K from 128K; September revised to 193K from 180K https://t.co/WOg237QKLC\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE",$ECONX: Q3 GDP Revised Upward - Third estimate revised to 3.2% growth from 2.9%; consumer spending stronger than initially reported. https://t.co/examplelink789,POSITIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"$ELY - Callaway Golf EPS misses by $0.03, beats on revenue https://t.co/WWcCPLqZK5","FINANCIAL TEXT: $ELY - Callaway Golf EPS misses by $0.03, beats on revenue https://t.co/WWcCPLqZK5\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","DECK - Deckers Outdoor Reports Q2 Earnings: Revenue Exceeds Estimates by 112 Million, EPS Falls Short by $0.16",NEUTRAL/MIXED,v0-1,"$ELY - Callaway Golf EPS misses by $0.03, beats on revenue https://t.co/WWcCPLqZK5"
"$ELY - Callaway Golf EPS misses by $0.03, beats on revenue https://t.co/WWcCPLqZK5","FINANCIAL TEXT: $ELY - Callaway Golf EPS misses by $0.03, beats on revenue https://t.co/WWcCPLqZK5\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE","NKE - Nike EPS beats by 0.05, misses on revenue https://t.co/P7mX4nRt8J",NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
$FLOW: SPX FLOW confirms deal to sell substantial portion of former Power and Energy reportable segment to Apollo... https://t.co/THAiKLuD8X,"FINANCIAL TEXT: $FLOW: SPX FLOW confirms deal to sell substantial portion of former Power and Energy reportable segment to Apollo... https://t.co/THAiKLuD8X\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","HON: Honeywell Announces Agreement to Sell Quantum Computing Division to KKR for 4.3 Billion, Transaction Expected to Close Q2 2026",NEUTRAL/MIXED,v0-1,$FLOW: SPX FLOW confirms deal to sell substantial portion of former Power and Energy reportable segment to Apollo... https://t.co/THAiKLuD8X
$FLOW: SPX FLOW confirms deal to sell substantial portion of former Power and Energy reportable segment to Apollo... https://t.co/THAiKLuD8X,"FINANCIAL TEXT: $FLOW: SPX FLOW confirms deal to sell substantial portion of former Power and Energy reportable segment to Apollo... https://t.co/THAiKLuD8X\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE",$GE - General Electric confirms agreement to sell Healthcare Finance division to TIAA for undisclosed terms... https://t.co/X9nR3kT4mP,NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
